"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
ff_error_notes4,freddyfullness,,notes,"Freddy Fullness Notes. Please list the values that were changed/updated",,,,,,,"sum([ff_measurement_errors4(0)], [ff_measurement_errors4(1)], [ff_measurement_errors4(2)], [ff_measurement_errors4(3)], [ff_measurement_errors4(4)], [ff_measurement_errors4(5)], [ff_measurement_errors4(6)], [ff_measurement_errors4(7)]) > 0 OR [ff_child_check4] = '1' OR [ff_totalbox_check4] = '1'",y,,,,,
ff_unfinished_msg4,freddyfullness,,descriptive,"Must document all errors in text box and mark that all errors have been corrected before finishing!",,,,,,,"(sum([ff_measurement_errors4(0)], [ff_measurement_errors4(1)], [ff_measurement_errors4(2)], [ff_measurement_errors4(3)], [ff_measurement_errors4(4)], [ff_measurement_errors4(5)], [ff_measurement_errors4(6)], [ff_measurement_errors4(7)]) > 0 AND [ff_measurement_cor4]='0') OR ([ff_child_check4] = '1' AND [ff_child_cor4] = '0') OR ([ff_totalbox_check4] = '1' AND [ff_totalbox_cor4]='0') OR ((sum([ff_measurement_errors4(0)], [ff_measurement_errors4(1)], [ff_measurement_errors4(2)], [ff_measurement_errors4(3)], [ff_measurement_errors4(4)], [ff_measurement_errors4(5)], [ff_measurement_errors4(6)], [ff_measurement_errors4(7)]) > 0 OR [ff_child_check4] = '1' OR [ff_totalbox_check4] = '1') AND [ff_error_notes4]='')",,,,,,
ff_error_email,freddyfullness,,radio,"Email the Lead Data RA or graduate student for final check since agreement has not yet been reached.

Include the Freddy Fullness visit and meal: [ff_visit:checked] [ff_meal:checked]

**Once email has been sent, mark form status as ""unverified"" so Lead RA and//or graduate student knows to check form**","0, Email Not Sent | 1, Email Sent",,,,,,"((sum([ff_measurement_errors4(0)], [ff_measurement_errors4(1)], [ff_measurement_errors4(2)], [ff_measurement_errors4(3)], [ff_measurement_errors4(4)], [ff_measurement_errors4(5)], [ff_measurement_errors4(6)], [ff_measurement_errors4(7)]) > 0 AND [ff_measurement_cor4]='1') OR ([ff_child_check4] = '1' AND [ff_child_cor4] = '1') OR ([ff_totalbox_check4] = '1' AND [ff_totalbox_cor4]='1')) AND ((sum([ff_measurement_errors4(0)], [ff_measurement_errors4(1)], [ff_measurement_errors4(2)], [ff_measurement_errors4(3)], [ff_measurement_errors4(4)], [ff_measurement_errors4(5)], [ff_measurement_errors4(6)], [ff_measurement_errors4(7)]) > 0 OR [ff_child_check4] = '1' OR [ff_totalbox_check4] = '1') AND [ff_error_notes4]<>'')",y,,,,,
ff_error_resolve,freddyfullness,,yesno,"For Lead RA or graduate student ONLY:

Have Freddy Fullness data issues been resolved?

**if yes, mark form status as complete**",,,,,,,[ff_error_email]='1',y,,,,,
ff_form_complete,freddyfullness,,yesno,"All Freddy Fullness measurement and Qualtrics data was correct (no errors found).

Has form status been change to ""complete""?",,,,,,,"(sum([ff_measurement_errors(0)], [ff_measurement_errors(1)], [ff_measurement_errors(2)], [ff_measurement_errors(3)], [ff_measurement_errors(4)], [ff_measurement_errors(5)], [ff_measurement_errors(6)], [ff_measurement_errors(7)]) = 0 OR sum([ff_measurement_errors2(0)], [ff_measurement_errors2(1)], [ff_measurement_errors2(2)], [ff_measurement_errors2(3)], [ff_measurement_errors2(4)], [ff_measurement_errors2(5)], [ff_measurement_errors2(6)], [ff_measurement_errors2(7)]) = 0 OR sum([ff_measurement_errors3(0)], [ff_measurement_errors3(1)], [ff_measurement_errors3(2)], [ff_measurement_errors3(3)], [ff_measurement_errors3(4)], [ff_measurement_errors3(5)], [ff_measurement_errors3(6)], [ff_measurement_errors3(7)]) = 0 OR sum([ff_measurement_errors4(0)], [ff_measurement_errors4(1)], [ff_measurement_errors4(2)], [ff_measurement_errors4(3)], [ff_measurement_errors4(4)], [ff_measurement_errors4(5)], [ff_measurement_errors4(6)], [ff_measurement_errors4(7)]) = 0) AND ( ([ff_child_check] = '0' AND [ff_totalbox_check] = '0') OR ([ff_child_check2] = '0' AND [ff_totalbox_check2] = '0') OR ([ff_child_check3] = '0' AND [ff_totalbox_check3] = '0') OR ([ff_child_check4] = '0' AND [ff_totalbox_check4] = '0'))",y,,,,,
ff_fmri_exist,fmri_freddyfullness,,yesno,"Was Freddy Fullness collected at Visit 6?",,,,,,,,,,,,,
ff_age_v2,fmri_freddyfullness,,calc,"Age at Visit 6",[baseline_arm_1][v6_age],,,,,,[ff_fmri_exist]='1',,,,,,
ff_pre_snack_measure,fmri_freddyfullness,"Pre-Freddy Fullness Measurement (check all that are complete)",checkbox,Snack,"0, Child Rating | 1, Total Freddy Size",,,,,,[ff_fmri_exist]='1',y,,,ff_pre_fmri_measure,,
ff_pre_mri_measure,fmri_freddyfullness,,checkbox,MRI,"0, Child Rating | 1, Total Freddy Size",,,,,,[ff_fmri_exist]='1',y,,,ff_pre_fmri_measure,,
ff_pre_dg_measure,fmri_freddyfullness,,checkbox,"Delay of Gratification","0, Child Rating | 1, Total Freddy Size",,,,,,[ff_fmri_exist]='1',y,,,ff_pre_fmri_measure,,
ff_pre_sst_measure,fmri_freddyfullness,,checkbox,SST,"0, Child Rating | 1, Total Freddy Size",,,,,,[ff_fmri_exist]='1',y,,,ff_pre_fmri_measure,,
ff_post_snack1_measure,fmri_freddyfullness,"Post-Freddy Fullness Measurement (check all that are complete",checkbox,"Snack 1","0, Child Rating | 1, Total Freddy Size",,,,,,[ff_fmri_exist]='1',y,,,ff_post_fmri_measure,,
ff_post_snack2_measure,fmri_freddyfullness,,checkbox,"Snack 2","0, Child Rating | 1, Total Freddy Size",,,,,,[ff_fmri_exist]='1',y,,,ff_post_fmri_measure,,
ff_pre_snack_enter,fmri_freddyfullness,"Freddy Fullness Data Entry",yesno,"Pre-Snack Freddy Fullness: Child rating has been entered",,,,,,,"sum([ff_pre_snack_measure(0)], [ff_pre_snack_measure(1)]) = 2",y,,,,,
ff_pre_snack_total_enter,fmri_freddyfullness,,yesno,"Pre-Snack Freddy Fullness: Total Freddy Size has been entered",,,,,,,"sum([ff_pre_snack_measure(0)], [ff_pre_snack_measure(1)]) = 2",y,,,,,
ff_pre_mri_enter,fmri_freddyfullness,,yesno,"Pre-MRI Freddy Fullness: Child rating has been entered",,,,,,,"sum([ff_pre_mri_measure(0)], [ff_pre_mri_measure(1)]) = 2",y,,,,,
ff_pre_mri_total_enter,fmri_freddyfullness,,yesno,"Pre-MRI Freddy Fullness: Total Freddy Size has been entered",,,,,,,"sum([ff_pre_mri_measure(0)], [ff_pre_mri_measure(1)]) = 2",y,,,,,
ff_pre_df_enter,fmri_freddyfullness,,yesno,"Pre-Delay of Gratification Freddy Fullness: Child rating has been entered",,,,,,,"sum([ff_pre_dg_measure(0)], [ff_pre_dg_measure(1)]) = 2",y,,,,,
ff_pre_df_total_enter,fmri_freddyfullness,,yesno,"Pre-Delay of Gratification Freddy Fullness: Total Freddy Size has been entered",,,,,,,"sum([ff_pre_dg_measure(0)], [ff_pre_dg_measure(1)]) = 2",y,,,,,
ff_pre_sst_enter,fmri_freddyfullness,,yesno,"Pre-SST Freddy Fullness: Child rating has been entered",,,,,,,"sum([ff_pre_sst_measure(0)], [ff_pre_sst_measure(1)]) = 2",y,,,,,
ff_pre_sst_total_enter,fmri_freddyfullness,,yesno,"Pre-SST Freddy Fullness: Total Freddy size has been entered",,,,,,,"sum([ff_pre_sst_measure(0)], [ff_pre_sst_measure(1)]) = 2",y,,,,,
ff_pre_snack1_enter,fmri_freddyfullness,,yesno,"Post-Snack 1 Freddy Fullness: Child rating has been entered",,,,,,,"sum([ff_post_snack1_measure(0)], [ff_post_snack1_measure(1)]) = 2",y,,,,,
ff_pre_snack1_total_enter,fmri_freddyfullness,,yesno,"Post-Snack 1 Freddy Fullness: Total Freddy Size has been entered",,,,,,,"sum([ff_post_snack1_measure(0)], [ff_post_snack1_measure(1)]) = 2",y,,,,,
ff_pre_snack2_enter,fmri_freddyfullness,,yesno,"Post-Snack 2 Freddy Fullness: Child rating has been entered",,,,,,,"sum([ff_post_snack2_measure(0)], [ff_post_snack2_measure(1)]) = 2",y,,,,,
ff_pre_snack2_total_enter,fmri_freddyfullness,,yesno,"Post-Snack 2 Freddy Fullness: Total Freddy Size has been entered",,,,,,,"sum([ff_post_snack2_measure(0)], [ff_post_snack2_measure(1)]) = 2",y,,,,,
ff_fmri_check_name,fmri_freddyfullness,"Data Checks",text,"Data Check 1

Freddy Fullness values checked by:",,,,,,,,y,,,,,
ff_fmri_check_date,fmri_freddyfullness,,text,Date:,,,date_mdy,,,,,y,,,,,
ff_fmri_measurement_errors,fmri_freddyfullness,,checkbox,"Re-measure all Freddy Fullness sheets for fMRI visit.

Please mark which, if any, measurements had errors - if a Freddy Fullness measurement was not taken, leave unchecked:","0, Child Pre-Snack | 1, Total Size Pre-Snack | 2, Child Post-Snack 1 | 3, Total Size Post-Snack 1 | 4, Child Post-Snack 2 | 5, Total Size Post-Snack 1 | 6, Child Pre-MRI | 7, Total Size Pre-MRI | 8, Child Pre-Delay of Gratification | 9, Total Size Pre-Delay of Gratification | 10, Child Pre-SST | 11, Total Size Pre-SST",,,,,,,y,,,,,
ff_fmri_measurement_cor,fmri_freddyfullness,,yesno,"Measurement errors were corrected on the paper sheets for: 
[ff_fmri_measurement_errors:checked] ",,,,,,,"sum([ff_fmri_measurement_errors(0)], [ff_fmri_measurement_errors(1)], [ff_fmri_measurement_errors(2)], [ff_fmri_measurement_errors(3)], [ff_fmri_measurement_errors(4)], [ff_fmri_measurement_errors(5)], [ff_fmri_measurement_errors(6)], [ff_fmri_measurement_errors(7)], [ff_fmri_measurement_errors(8)], [ff_fmri_measurement_errors(9)], [ff_fmri_measurement_errors(10)], [ff_fmri_measurement_errors(11)]) > 0",y,,,,,
ff_fmri_child_check,fmri_freddyfullness,,yesno,"Were there Freddy Fullness data entry errors in the Visit 6 Child Qualtrics Database?
",,,,,,,"sum([ff_fmri_measurement_errors(0)], [ff_fmri_measurement_errors(1)], [ff_fmri_measurement_errors(2)], [ff_fmri_measurement_errors(3)], [ff_fmri_measurement_errors(4)], [ff_fmri_measurement_errors(5)], [ff_fmri_measurement_errors(6)], [ff_fmri_measurement_errors(7)], [ff_fmri_measurement_errors(8)], [ff_fmri_measurement_errors(9)], [ff_fmri_measurement_errors(10)], [ff_fmri_measurement_errors(11)]) = 0",y,,,,,
ff_child_cor_v2,fmri_freddyfullness,,yesno,"Child Freddy Fullness values corrected in Visit 6 Child Qulatrics Database",,,,,,,"sum([ff_fmri_measurement_errors(0)], [ff_fmri_measurement_errors(2)], [ff_fmri_measurement_errors(4)], [ff_fmri_measurement_errors(6)], [ff_fmri_measurement_errors(8)], [ff_fmri_measurement_errors(10)]) > 0 OR [ff_fmri_child_check]='1'",y,,,,,
ff_fmri_totalbox_check,fmri_freddyfullness,,yesno,"Were there errors in the extra Freddy Fullness Qualtrics Database for Visit 6 Total Freddy Fullness size?

",,,,,,,"sum([ff_fmri_measurement_errors(0)], [ff_fmri_measurement_errors(1)], [ff_fmri_measurement_errors(2)], [ff_fmri_measurement_errors(3)], [ff_fmri_measurement_errors(4)], [ff_fmri_measurement_errors(5)], [ff_fmri_measurement_errors(6)], [ff_fmri_measurement_errors(7)], [ff_fmri_measurement_errors(8)], [ff_fmri_measurement_errors(9)], [ff_fmri_measurement_errors(10)], [ff_fmri_measurement_errors(11)]) = 0",y,,,,,
ff_fmri_totalbox_cor,fmri_freddyfullness,,yesno,"Visit 6 Total Freddy Fullness size values corrected in extra Freddy Fullness Qulatrics Database",,,,,,,"sum([ff_fmri_measurement_errors(1)], [ff_fmri_measurement_errors(3)], [ff_fmri_measurement_errors(5)], [ff_fmri_measurement_errors(7)], [ff_fmri_measurement_errors(9)], [ff_fmri_measurement_errors(11)]) > 0 OR [ff_fmri_totalbox_check]='1'",y,,,,,
ff_fmri_error_notes,fmri_freddyfullness,,notes,"Freddy Fullness Notes. Please list the values that were changed/updated.

**Once done, change status to incomplete so others know that these data need to be checked again**",,,,,,,"sum([ff_fmri_measurement_errors(0)], [ff_fmri_measurement_errors(1)], [ff_fmri_measurement_errors(2)], [ff_fmri_measurement_errors(3)], [ff_fmri_measurement_errors(4)], [ff_fmri_measurement_errors(5)], [ff_fmri_measurement_errors(6)], [ff_fmri_measurement_errors(7)], [ff_fmri_measurement_errors(8)], [ff_fmri_measurement_errors(9)], [ff_fmri_measurement_errors(10)], [ff_fmri_measurement_errors(11)]) > 0 OR [ff_fmri_totalbox_check]='1'",y,,,,,
ff_fmri_unfinished_msg,fmri_freddyfullness,,descriptive,"Must document all errors in text box and mark that all errors have been corrected before finishing!",,,,,,,"(sum([ff_fmri_measurement_errors(0)], [ff_fmri_measurement_errors(1)], [ff_fmri_measurement_errors(2)], [ff_fmri_measurement_errors(3)], [ff_fmri_measurement_errors(4)], [ff_fmri_measurement_errors(5)], [ff_fmri_measurement_errors(6)], [ff_fmri_measurement_errors(7)], [ff_fmri_measurement_errors(8)], [ff_fmri_measurement_errors(9)], [ff_fmri_measurement_errors(10)], [ff_fmri_measurement_errors(11)]) > 0 AND [ff_fmri_measurement_cor]='0') OR ([ff_fmri_child_check] = '1' AND [ff_child_cor_v2] = '0') OR ([ff_fmri_totalbox_check] = '1' AND [ff_fmri_totalbox_cor]='0') OR ((sum([ff_fmri_measurement_errors(0)], [ff_fmri_measurement_errors(1)], [ff_fmri_measurement_errors(2)], [ff_fmri_measurement_errors(3)], [ff_fmri_measurement_errors(4)], [ff_fmri_measurement_errors(5)], [ff_fmri_measurement_errors(6)], [ff_fmri_measurement_errors(7)], [ff_fmri_measurement_errors(8)], [ff_fmri_measurement_errors(9)], [ff_fmri_measurement_errors(10)], [ff_fmri_measurement_errors(11)]) > 0 OR [ff_fmri_child_check] = '1' OR [ff_fmri_totalbox_check]='1') AND [ff_fmri_error_notes]='')",,,,,,
ff_fmri_check_name2,fmri_freddyfullness,,text,"Data Check 2

Freddy Fullness values checked by:",,,,,,,"((sum([ff_fmri_measurement_errors(0)], [ff_fmri_measurement_errors(1)], [ff_fmri_measurement_errors(2)], [ff_fmri_measurement_errors(3)], [ff_fmri_measurement_errors(4)], [ff_fmri_measurement_errors(5)], [ff_fmri_measurement_errors(6)], [ff_fmri_measurement_errors(7)], [ff_fmri_measurement_errors(8)], [ff_fmri_measurement_errors(9)], [ff_fmri_measurement_errors(10)], [ff_fmri_measurement_errors(11)]) > 0 AND [ff_fmri_measurement_cor]='1') OR ([ff_fmri_child_check] = '1' AND [ff_child_cor_v2] = '1') OR ([ff_fmri_totalbox_check] = '1' AND [ff_fmri_totalbox_cor]='1')) AND ((sum([ff_fmri_measurement_errors(0)], [ff_fmri_measurement_errors(1)], [ff_fmri_measurement_errors(2)], [ff_fmri_measurement_errors(3)], [ff_fmri_measurement_errors(4)], [ff_fmri_measurement_errors(5)], [ff_fmri_measurement_errors(6)], [ff_fmri_measurement_errors(7)], [ff_fmri_measurement_errors(8)], [ff_fmri_measurement_errors(9)], [ff_fmri_measurement_errors(10)], [ff_fmri_measurement_errors(11)]) > 0 OR [ff_fmri_child_check] = '1' OR [ff_fmri_totalbox_check]='1') AND [ff_fmri_error_notes]<>'')",y,,,,,
ff_fmri_check_date2,fmri_freddyfullness,,text,Date:,,,date_mdy,,,,[ff_fmri_check_name2]<>'',y,,,,,
ff_fmri_measurement_errors2,fmri_freddyfullness,,checkbox,"Re-measure all Freddy Fullness sheets for fMRI visit.

Please mark which, if any, measurements had errors - if a Freddy Fullness measurement was not taken, leave unchecked:","0, Child Pre-Snack | 1, Total Size Pre-Snack | 2, Child Post-Snack 1 | 3, Total Size Post-Snack 1 | 4, Child Post-Snack 2 | 5, Total Size Post-Snack 1 | 6, Child Pre-MRI | 7, Total Size Pre-MRI | 8, Child Pre-Delay of Gratification | 9, Total Size Pre-Delay of Gratification | 10, Child Pre-SST | 11, Total Size Pre-SST",,,,,,"[ff_fmri_check_name2]<>'' AND sum([ff_fmri_measurement_errors(0)], [ff_fmri_measurement_errors(1)], [ff_fmri_measurement_errors(2)], [ff_fmri_measurement_errors(3)], [ff_fmri_measurement_errors(4)], [ff_fmri_measurement_errors(5)], [ff_fmri_measurement_errors(6)], [ff_fmri_measurement_errors(7)], [ff_fmri_measurement_errors(8)], [ff_fmri_measurement_errors(9)], [ff_fmri_measurement_errors(10)], [ff_fmri_measurement_errors(11)]) > 0",y,,,,,
ff_fmri_measurement_cor2,fmri_freddyfullness,,yesno,"Measurement errors were corrected on the paper sheets for: 
[ff_fmri_measurement_errors2:checked] ",,,,,,,"sum([ff_fmri_measurement_errors2(0)], [ff_fmri_measurement_errors2(1)], [ff_fmri_measurement_errors2(2)], [ff_fmri_measurement_errors2(3)], [ff_fmri_measurement_errors2(4)], [ff_fmri_measurement_errors2(5)], [ff_fmri_measurement_errors2(6)], [ff_fmri_measurement_errors2(7)], [ff_fmri_measurement_errors2(8)], [ff_fmri_measurement_errors2(9)], [ff_fmri_measurement_errors2(10)], [ff_fmri_measurement_errors2(11)]) > 0",y,,,,,
ff_fmri_child_check2,fmri_freddyfullness,,yesno,"Were there Freddy Fullness data entry errors in the Visit 6 Child Qualtrics Database?

",,,,,,,"([ff_fmri_check_name2]<>'' AND sum([ff_fmri_measurement_errors2(0)], [ff_fmri_measurement_errors2(1)], [ff_fmri_measurement_errors2(2)], [ff_fmri_measurement_errors2(3)], [ff_fmri_measurement_errors2(4)], [ff_fmri_measurement_errors2(5)], [ff_fmri_measurement_errors2(6)], [ff_fmri_measurement_errors2(7)], [ff_fmri_measurement_errors2(8)], [ff_fmri_measurement_errors2(9)], [ff_fmri_measurement_errors2(10)], [ff_fmri_measurement_errors2(11)]) = 0) OR ([ff_fmri_check_name2]<>'' AND sum([ff_fmri_measurement_errors(0)], [ff_fmri_measurement_errors(1)], [ff_fmri_measurement_errors(2)], [ff_fmri_measurement_errors(3)], [ff_fmri_measurement_errors(4)], [ff_fmri_measurement_errors(5)], [ff_fmri_measurement_errors(6)], [ff_fmri_measurement_errors(7)], [ff_fmri_measurement_errors(8)], [ff_fmri_measurement_errors(9)], [ff_fmri_measurement_errors(10)], [ff_fmri_measurement_errors(11)]))",y,,,,,
ff_fmri_child_cor2,fmri_freddyfullness,,yesno,"Child Freddy Fullness values corrected in Visit 6 Child Qulatrics Database",,,,,,,"sum([ff_fmri_measurement_errors2(0)], [ff_fmri_measurement_errors2(2)], [ff_fmri_measurement_errors2(4)], [ff_fmri_measurement_errors2(6)], [ff_fmri_measurement_errors2(8)], [ff_fmri_measurement_errors2(10)]) > 0 OR [ff_fmri_child_check2]='1'",y,,,,,
ff_fmri_totalbox_check2,fmri_freddyfullness,,yesno,"Were there errors in the extra Freddy Fullness Qualtrics Database for Visit 6 Total Freddy Fullness size?
",,,,,,,"([ff_fmri_check_name2]<>'' AND sum([ff_fmri_measurement_errors2(0)], [ff_fmri_measurement_errors2(1)], [ff_fmri_measurement_errors2(2)], [ff_fmri_measurement_errors2(3)], [ff_fmri_measurement_errors2(4)], [ff_fmri_measurement_errors2(5)], [ff_fmri_measurement_errors2(6)], [ff_fmri_measurement_errors2(7)], [ff_fmri_measurement_errors2(8)], [ff_fmri_measurement_errors2(9)], [ff_fmri_measurement_errors2(10)], [ff_fmri_measurement_errors2(11)]) = 0) OR ([ff_fmri_check_name2]<>'' AND sum([ff_fmri_measurement_errors(0)], [ff_fmri_measurement_errors(1)], [ff_fmri_measurement_errors(2)], [ff_fmri_measurement_errors(3)], [ff_fmri_measurement_errors(4)], [ff_fmri_measurement_errors(5)], [ff_fmri_measurement_errors(6)], [ff_fmri_measurement_errors(7)], [ff_fmri_measurement_errors(8)], [ff_fmri_measurement_errors(9)], [ff_fmri_measurement_errors(10)], [ff_fmri_measurement_errors(11)]))",y,,,,,
ff_fmri_totalbox_cor2,fmri_freddyfullness,,yesno,"Visit 6 Total Freddy Fullness size values corrected in extra Freddy Fullness Qulatrics Database",,,,,,,"sum([ff_fmri_measurement_errors2(1)], [ff_fmri_measurement_errors2(3)], [ff_fmri_measurement_errors2(5)], [ff_fmri_measurement_errors2(7)], [ff_fmri_measurement_errors2(9)], [ff_fmri_measurement_errors2(11)]) > 0 OR [ff_fmri_totalbox_check2]='1'",y,,,,,
ff_fmri_error_notes2,fmri_freddyfullness,,notes,"Freddy Fullness Notes. Please list the values that were changed/updated

**Once done, change status to incomplete so others know that these data need to be checked again**",,,,,,,"sum([ff_fmri_measurement_errors2(0)], [ff_fmri_measurement_errors2(1)], [ff_fmri_measurement_errors2(2)], [ff_fmri_measurement_errors2(3)], [ff_fmri_measurement_errors2(4)], [ff_fmri_measurement_errors2(5)], [ff_fmri_measurement_errors2(6)], [ff_fmri_measurement_errors2(7)], [ff_fmri_measurement_errors2(8)], [ff_fmri_measurement_errors2(9)], [ff_fmri_measurement_errors2(10)], [ff_fmri_measurement_errors2(11)]) > 0 OR [ff_fmri_totalbox_check2]='1'",y,,,,,
ff_fmri_unfinished_msg2,fmri_freddyfullness,,descriptive,"Must document all errors in text box and mark that all errors have been corrected before finishing!",,,,,,,"(sum([ff_fmri_measurement_errors2(0)], [ff_fmri_measurement_errors2(1)], [ff_fmri_measurement_errors2(2)], [ff_fmri_measurement_errors2(3)], [ff_fmri_measurement_errors2(4)], [ff_fmri_measurement_errors2(5)], [ff_fmri_measurement_errors2(6)], [ff_fmri_measurement_errors2(7)], [ff_fmri_measurement_errors2(8)], [ff_fmri_measurement_errors2(9)], [ff_fmri_measurement_errors2(10)], [ff_fmri_measurement_errors2(11)]) > 0 AND [ff_fmri_measurement_cor2]='0') OR ([ff_fmri_child_check2] = '1' AND [ff_fmri_child_cor2] = '0') OR ([ff_fmri_totalbox_check2] = '1' AND [ff_fmri_totalbox_cor2]='0') OR ((sum([ff_fmri_measurement_errors2(0)], [ff_fmri_measurement_errors2(1)], [ff_fmri_measurement_errors2(2)], [ff_fmri_measurement_errors2(3)], [ff_fmri_measurement_errors2(4)], [ff_fmri_measurement_errors2(5)], [ff_fmri_measurement_errors2(6)], [ff_fmri_measurement_errors2(7)], [ff_fmri_measurement_errors2(8)], [ff_fmri_measurement_errors2(9)], [ff_fmri_measurement_errors2(10)], [ff_fmri_measurement_errors2(11)]) > 0 OR [ff_fmri_child_check2] = '1' OR [ff_fmri_totalbox_check2]='1') AND [ff_fmri_error_notes2]='')",,,,,,
ff_fmri_check_name3,fmri_freddyfullness,,text,"Data Check 3

Freddy Fullness values checked by:",,,,,,,"((sum([ff_fmri_measurement_errors2(0)], [ff_fmri_measurement_errors2(1)], [ff_fmri_measurement_errors2(2)], [ff_fmri_measurement_errors2(3)], [ff_fmri_measurement_errors2(4)], [ff_fmri_measurement_errors2(5)], [ff_fmri_measurement_errors2(6)], [ff_fmri_measurement_errors2(7)], [ff_fmri_measurement_errors2(8)], [ff_fmri_measurement_errors2(9)], [ff_fmri_measurement_errors2(10)], [ff_fmri_measurement_errors2(11)]) > 0 AND [ff_fmri_measurement_cor2]='1') OR ([ff_fmri_child_check2] = '1' AND [ff_fmri_child_cor2] = '1') OR ([ff_fmri_totalbox_check2] = '1' AND [ff_fmri_totalbox_cor2]='1')) AND ((sum([ff_fmri_measurement_errors2(0)], [ff_fmri_measurement_errors2(1)], [ff_fmri_measurement_errors2(2)], [ff_fmri_measurement_errors2(3)], [ff_fmri_measurement_errors2(4)], [ff_fmri_measurement_errors2(5)], [ff_fmri_measurement_errors2(6)], [ff_fmri_measurement_errors2(7)], [ff_fmri_measurement_errors2(8)], [ff_fmri_measurement_errors2(9)], [ff_fmri_measurement_errors2(10)], [ff_fmri_measurement_errors2(11)]) > 0 OR [ff_fmri_child_check2] = '1' OR [ff_fmri_totalbox_check2]='1') AND [ff_fmri_error_notes2]<>'')",y,,,,,
ff_fmri_check_date3,fmri_freddyfullness,,text,Date:,,,date_mdy,,,,[ff_fmri_check_name3]<>'',y,,,,,
ff_fmri_measurement_errors3,fmri_freddyfullness,,checkbox,"Re-measure all Freddy Fullness sheets for fMRI visit.

Please mark which, if any, measurements had errors - if a Freddy Fullness measurement was not taken, leave unchecked:","0, Child Pre-Snack | 1, Total Size Pre-Snack | 2, Child Post-Snack 1 | 3, Total Size Post-Snack 1 | 4, Child Post-Snack 2 | 5, Total Size Post-Snack 1 | 6, Child Pre-MRI | 7, Total Size Pre-MRI | 8, Child Pre-Delay of Gratification | 9, Total Size Pre-Delay of Gratification | 10, Child Pre-SST | 11, Total Size Pre-SST",,,,,,"[ff_fmri_check_name3]<>'' AND sum([ff_fmri_measurement_errors2(0)], [ff_fmri_measurement_errors2(1)], [ff_fmri_measurement_errors2(2)], [ff_fmri_measurement_errors2(3)], [ff_fmri_measurement_errors2(4)], [ff_fmri_measurement_errors2(5)], [ff_fmri_measurement_errors2(6)], [ff_fmri_measurement_errors2(7)], [ff_fmri_measurement_errors2(8)], [ff_fmri_measurement_errors2(9)], [ff_fmri_measurement_errors2(10)], [ff_fmri_measurement_errors2(11)]) > 0",y,,,,,
ff_fmri_measurement_cor3,fmri_freddyfullness,,yesno,"Measurement errors were corrected on the paper sheets for: 
[ff_fmri_measurement_errors3:checked] ",,,,,,,"sum([ff_fmri_measurement_errors3(0)], [ff_fmri_measurement_errors3(1)], [ff_fmri_measurement_errors3(2)], [ff_fmri_measurement_errors3(3)], [ff_fmri_measurement_errors3(4)], [ff_fmri_measurement_errors3(5)], [ff_fmri_measurement_errors3(6)], [ff_fmri_measurement_errors3(7)], [ff_fmri_measurement_errors3(8)], [ff_fmri_measurement_errors3(9)], [ff_fmri_measurement_errors3(10)], [ff_fmri_measurement_errors3(11)]) > 0",y,,,,,
ff_fmri_child_check3,fmri_freddyfullness,,yesno,"Were there Freddy Fullness data entry errors in the Visit 6 Child Qualtrics Database?

",,,,,,,"([ff_fmri_check_name3]<>'' AND sum([ff_fmri_measurement_errors2(0)], [ff_fmri_measurement_errors2(1)], [ff_fmri_measurement_errors2(2)], [ff_fmri_measurement_errors2(3)], [ff_fmri_measurement_errors2(4)], [ff_fmri_measurement_errors2(5)], [ff_fmri_measurement_errors2(6)], [ff_fmri_measurement_errors2(7)], [ff_fmri_measurement_errors2(8)], [ff_fmri_measurement_errors2(9)], [ff_fmri_measurement_errors2(10)], [ff_fmri_measurement_errors2(11)]) = 0) OR ([ff_fmri_check_name3]<>'' AND sum([ff_fmri_measurement_errors3(0)], [ff_fmri_measurement_errors3(1)], [ff_fmri_measurement_errors3(2)], [ff_fmri_measurement_errors3(3)], [ff_fmri_measurement_errors3(4)], [ff_fmri_measurement_errors3(5)], [ff_fmri_measurement_errors3(6)], [ff_fmri_measurement_errors3(7)], [ff_fmri_measurement_errors3(8)], [ff_fmri_measurement_errors3(9)], [ff_fmri_measurement_errors3(10)], [ff_fmri_measurement_errors3(11)]))",y,,,,,
ff_fmri_child_cor3,fmri_freddyfullness,,yesno,"Child Freddy Fullness values corrected in Visit 6 Child Qulatrics Database",,,,,,,"sum([ff_fmri_measurement_errors3(0)], [ff_fmri_measurement_errors3(2)], [ff_fmri_measurement_errors3(4)], [ff_fmri_measurement_errors3(6)], [ff_fmri_measurement_errors3(8)], [ff_fmri_measurement_errors3(10)]) > 0 OR [ff_fmri_child_check3]='1'",y,,,,,
